Date;Buy;Sum;Sum Total
14.01.2020;500 €;0,06201756;0,06201756
07.03.2020;200 €;0,02426849;0,08628605
09.03.2020;110 €;0,01582333;0,10210938
13.03.2020;160 €;0,02995293;0,13206231
18.03.2020;145 €;0,03031559;0,1623779
07.04.2020;288,46 €;0,04214982;0,20452772
08.06.2020;150 €;0,0173078;0,22183552
02.07.2020;150 €;0,01820976;0,24004528
20.07.2020;46,54 €;0,00578614;0,24583142
01.08.2020;111 €;0,01114431;0,25697573
06.08.2020;100 €;0,009575;0,26655073
01.09.2020;206,27 €;0,02011411;0,28666484
09.10.2020;69,22 €;0,00734708;0,29401192
01.11.2020;100 €;0,00829538;0,3023073
06.11.2020;150 €;0,01116115;0,31346845
26.11.2020;200 €;0,01244506;0,32591351
26.11.2020;50 €;0,00341148;0,32932499
09.12.2020;100 €;0,0064993;0,33582429
15.12.2020;50 €;0,00308425;0,33890854
16.12.2020;50 €;0,00290041;0,34180895
24.12.2020;42,64 €;0,00224918;0,34405813
24.12.2020;112,60 €;0,00587449;0,34993262
02.01.2021;50 €;0,00187612;0,35180874
04.01.2021;50 €;0,00200411;0,35381285
05.01.2021;121,21 €;0,004679;0,35849185
11.01.2021;140,00 €;0,00495699;0,36344884
25.01.2021;30,00 €;0,001062;0,36451084
29.01.2021;66,87 €;0,0024123;0,36692314
09.02.2021;50,00 €;0,00125663;0,36817977
22.02.2021;200,00 €;0,004567;0,37274677
23.02.2021;75,00 €;0,001883;0,37462977
23.02.2021;100,00 €;0,00255665;0,37718642
16.03.2021;150,00 €;0,003196;0,38038242
17.03.2021;100,00 €;0,002065;0,38244742
24.03.2021;75,00 €;0,00154051;0,38398793
25.03.2021;200,00 €;0,004545;0,38853293
19.04.2021;100,00 €;0,002104;0,39063693
26.04.2021;69,00 €;0,001542;0,39217893
28.04.2021;80,00 €;0,001725;0,39390393
15.05.2021;150,00 €;0,003766;0,39766993
16.05.2021;75,00 €;0,002064;0,39973393
19.05.2021;50,00 €;0,0015562;0,40129013
08.06.2021;50,00 €;0,001805;0,40309513
07.07.2021;100,00 €;0,0034;0,40649513
21.07.2021;100,00 €;0,00364;0,41013513
22.07.2021;50,00 €;0,001809;0,41194413
01.09.2021;500,00 €;0,01225191;0,42419604
02.09.2021;527,00 €;0,01257894;0,43677498
05.09.2021;642,05 €;0,01491554;0,45169052
07.09.2021;500,00 €;0,01238277;0,46407329
08.09.2021;500,00 €;0,01258222;0,47665551
10.09.2021;500,00 €;0,01289355;0,48954906
10.09.2021;385,00 €;0,00986869;0,49941775
10.09.2021;210,00 €;0,0054762;0,50489395
11.09.2021;250,00 €;0,00644046;0,51133441
12.09.2021;200,00 €;0,00508235;0,51641676
13.09.2021;150,00 €;0,00393892;0,52035568
20.09.2021;150,00 €;0,00398079;0,52433647
22.09.2021;100,00 €;0,00276383;0,5271003
06.12.2021;50,00 €;0,00114281;0,52824311
06.12.2021;25,00 €;0,00057105;0,52881416
15.12.2021;40,00 €;0,00092776;0,52974192
06.01.2022;30,00 €;0,00081436;0,53055628
27.01.2022;100,00 €;0,00302549;0,53358177
28.01.2022;170,00 €;0,00510257;0,53868434
05.03.2022;61,00 €;0,00167787;0,54036221
10.03.2022;21,45 €;0,0006;0,54096221
03.04.2022;141,68 €;0,00334686;0,54430907
25.08.2022;250,00 €;0,01151367;0,55582274
26.08.2022;250,00 €;0,0119909;0,56781364
28.08.2022;150,00 €;0,0074443;0,57525794
07.09.2022;100,00 €;0,0052319;0,58048984
07.09.2022;245,00 €;0,01277268;0,59326252
12.11.2022;265,53 €;0,01623252;0,60949504
